car_model,price,year_model,kms,color,fueltype
Renault Logan 1.6 Privilege / Intens,$50.000.000,2020,23.000,Gris,Gasolina
Renault Logan 1.6 Life,$41.000.000,2021,33.000,Blanco,Gasolina
Renault Logan 1.6 Expression,$37.500.000,2017,67.000,Gris,Gasolina
Renault Logan 1.6 Expression,$34.500.000,2018,83.000,Blanco,Gasolina
Renault Logan 1.6 Expression Fii,$24.800.000,2012,118.000,Gris,Gasolina
Renault Logan 1.4 Entry Familier,$22.500.000,2011,121.000,Gris,Gasolina
Renault Logan 1.6 Dynamique,$53.000.000,2023,41.000,Gris,Gasolina
Renault Logan 1.6 Expression / Life +,$51.000.000,2022,53.615,Gris,Gasolina
Renault Logan 1.6 Expression / Life +,$51.000.000,2022,55.864,Gris,Gasolina
Renault Logan 1.6 Expression / Life +,$51.000.000,2022,59.015,Gris,Gasolina
Renault Logan 1.6 Expression / Life +,$51.000.000,2022,60.475,Gris,Gasolina
Renault Logan 1.6 Expression,$33.000.000,2018,94.000,Color not found,Gasolina
Renault Logan 1.6 Expression / Life +,$39.900.000,2022,40.100,Color not found,Gasolina
Renault Logan 1.6 Authentique / Life,$52.000.000,2023,15,Gris,Gasolina
Renault Logan Expression,$32.900.000,2014,30.000,Blanco,Gasolina
Renault Logan 1.6 Expression,$29.500.000,2016,87.000,Plateado,Gasolina
Renault Logan 1.6 Expression Fii,$24.800.000,2012,102.000,Rojo,Gasolina
Renault Logan 1.6 Authentique,$32.900.000,2017,78.000,Plateado,Gasolina
Renault Logan 1.6 Privilege / Intens,$41.000.000,2019,48.500,Plateado,Gasolina
Renault Logan 1.6 Dynamique,$21.300.000,2008,141.000,Azul,Gasolina
Renault Logan 1.6 Privilege / Intens,$47.000.000,2019,58.777,Plateado,Gasolina
Renault Logan 1.6 Life,$41.900.000,2023,27.000,Blanco,Gasolina
Renault Logan 1.6 Privilege / Intens,$55.000.000,2022,21.000,Gris,Gasolina
Renault Logan 1.6 Expression / Life +,$51.000.000,2022,54.445,Gris,Gasolina
Renault Logan 1.6 Expression / Life +,$51.000.000,2022,53.311,Gris,Gasolina
Renault Logan 1.6 Mecánico 2023,$49.900.000,2023,43.700,Blanco,Gasolina
Renault Logan Expression,$29.999.999,2015,90.000,Rojo,Gasolina
Renault Logan 1.6 Life,$42.900.000,2021,40.000,Plateado,Gasolina
Renault Logan 1.4 Expression,$20.000.000,2007,180.000,Blanco,Gasolina
Renault Logan Mecanico,$42.900.000,2019,38.000,Gris,Gasolina
Renault Logan 1.6 Expression,$20.500.000,2008,152.000,Gris,Gasolina
Renault Logan 1.6 Privilege / Intens,$37.900.000,2018,85.000,Rojo,Gasolina
Renault Logan 1.6 Life,$40.900.000,2020,68.000,Gris,Gasolina
Renault Logan 1.6 Expression,$44.990.000,2019,39.000,Gris,Gasolina
Renault Logan 1.6 Expression / Life +,$51.000.000,2022,60.055,Gris,Gasolina
Renault Logan 1.6 Expression / Life +,$51.000.000,2022,54.849,Gris,Gasolina
Renault Logan 1.6 Authentique / Life,$33.900.000,2018,98.500,Plateado,Gasolina
Renault Logan logan Expression,$29.000.000,2013,157.485,Negro,Gasolina
Renault Logan 1.6 Expression,$34.900.000,2018,73.200,Plateado,Gasolina
